S.no,Financial Year,State Name,District Name,Enrolled ,Assessed 
1,2018-19,Andaman and Nicobar,South Andamans,0,0
2,2018-19,Andhra Pradesh,Anantapur,800,800
3,2018-19,Andhra Pradesh,Guntur,815,773
4,2018-19,Andhra Pradesh,Prakasam,807,807
5,2018-19,Andhra Pradesh,Chittoor,740,740
6,2018-19,Andhra Pradesh,Krishna,800,795
7,2018-19,Andhra Pradesh,Visakhapatanam,800,800
8,2018-19,Andhra Pradesh,Vizianagaram,0,0
9,2018-19,Arunachal Pradesh,Papum Pare,156,156
10,2018-19,Assam,Darrang,680,680
11,2018-19,Assam,Dhubri,0,0
12,2018-19,Assam,Jorhat,613,557
13,2018-19,Assam,Kamrup,752,752
14,2018-19,Assam,Nagaon,980,980
15,2018-19,Assam,Cachar,898,840
16,2018-19,Bihar,Araria,0,0
17,2018-19,Bihar,Arwal,823,818
18,2018-19,Bihar,Aurangabad,798,798
19,2018-19,Bihar,Banka,0,0
20,2018-19,Bihar,Begusarai,0,0
21,2018-19,Bihar,Buxar,600,600
22,2018-19,Bihar,Purbi Champaran,820,820
23,2018-19,Bihar,Gaya,650,538
24,2018-19,Bihar,Gopalganj,0,0
25,2018-19,Bihar,Jamui,0,0
26,2018-19,Bihar,Kishanganj,820,820
27,2018-19,Bihar,Madhubani,0,0
28,2018-19,Bihar,Munger,792,786
29,2018-19,Bihar,Muzaffarpur,800,800
30,2018-19,Bihar,Nalanda,410,0
31,2018-19,Bihar,Nawada,0,0
32,2018-19,Bihar,Patna,534,100
33,2018-19,Bihar,Samastipur,920,914
34,2018-19,Bihar,Saran,800,800
35,2018-19,Bihar,Sitamarhi,0,0
36,2018-19,Bihar,Vaishali,800,800
37,2018-19,Bihar,Pashchim Champaran,0,0
38,2018-19,Chandigarh,Chandigarh,718,718
39,2018-19,Chhattisgarh,Bastar,740,740
40,2018-19,Chhattisgarh,Bijapur,0,0
41,2018-19,Chhattisgarh,Bilaspur,800,800
42,2018-19,Chhattisgarh,Dantewada,0,0
43,2018-19,Chhattisgarh,Kanker,0,0
44,2018-19,Chhattisgarh,Kondagaon,0,0
45,2018-19,Chhattisgarh,Korba,800,770
46,2018-19,Chhattisgarh,Korea,720,720
47,2018-19,Chhattisgarh,Mahasamund,0,0
48,2018-19,Chhattisgarh,Narayanpur,0,0
49,2018-19,Chhattisgarh,Raipur,672,672
50,2018-19,Chhattisgarh,Rajnandgaon,380,372
51,2018-19,Chhattisgarh,Sukma,0,0
52,2018-19,Chhattisgarh,Surguja,680,680
53,2018-19,Dadra And Nagar Haveli And Daman And Diu,Dadra And Nagar Haveli,534,534
54,2018-19,Dadra And Nagar Haveli And Daman And Diu,Diu,0,0
55,2018-19,Delhi,North West,859,805
56,2018-19,Delhi,West,858,793
57,2018-19,Delhi,West,801,781
58,2018-19,Goa,South Goa,602,588
59,2018-19,Gujarat,Ahmadabad,0,0
60,2018-19,Gujarat,Banas Kantha,760,760
61,2018-19,Gujarat,Bharuch,800,800
62,2018-19,Gujarat,Gandhinagar,760,760
63,2018-19,Gujarat,Kachchh,824,824
64,2018-19,Gujarat,Mahesana,805,805
65,2018-19,Gujarat,Patan,740,740
66,2018-19,Gujarat,Sabar Kantha,700,700
67,2018-19,Gujarat,Surat,800,800
68,2018-19,Gujarat,Vadodara,938,938
69,2018-19,Gujarat,Valsad,599,578
70,2018-19,Haryana,Gurugram,800,794
71,2018-19,Haryana,Panipat,795,795
72,2018-19,Haryana,Rohtak,745,745
73,2018-19,Haryana,Sirsa,975,890
74,2018-19,Haryana,Sonipat,740,734
75,2018-19,Himachal Pradesh,Bilaspur,0,0
76,2018-19,Himachal Pradesh,Chamba,0,0
77,2018-19,Himachal Pradesh,Hamirpur,0,0
78,2018-19,Himachal Pradesh,Kangra,0,0
79,2018-19,Himachal Pradesh,Kullu,0,0
80,2018-19,Himachal Pradesh,Lahul And Spiti,703,639
81,2018-19,Himachal Pradesh,Mandi,0,0
82,2018-19,Himachal Pradesh,Shimla,0,0
83,2018-19,Himachal Pradesh,Sirmaur,0,0
84,2018-19,Himachal Pradesh,Solan,0,0
85,2018-19,Himachal Pradesh,Una,0,0
86,2018-19,Jammu And Kashmir,Baramulla,0,0
87,2018-19,Jammu And Kashmir,Jammu,791,791
88,2018-19,Jammu And Kashmir,Kupwara,486,148
89,2018-19,Jharkhand,Bokaro,812,793
